"Freq";"Left";"Right"
Calib_mouse_01.csv
1000;73.86;73.86
2000;19.86;19.86
3000;18.25;18.25
4000;21.50;21.50
5000;16.12;16.12
6000;25.54;25.54
7000;14.42;14.42
8000;21.57;21.57
9000;16.04;16.04
10000;20.08;20.08
20000;14.29;14.29
30000;25.19;25.19
40000;22.54;22.54
50000;72.50;72.50
