"Freq";"Left";"Right"
Calib_Headphone01.csv
500;0.62;0.62
1000;0.46;0.46
1500;-8.22;-8.22
2000;-13.27;-13.27
2500;-12.22;-12.22
3000;-9.33;-9.33
3500;-11.85;-11.85
4000;-2.55;-2.55
4500;9.25;9.25
5000;8.42;8.42
5500;4.68;4.68
6000;5.00;5.00
6500;2.74;2.74
7000;-0.76;-0.76
7500;17.11;17.11
8000;21.38;21.38
